Date,Open,High,Low,Close,Volume
20170816,27250,32450,27100,31500,3341469
20170814,25700,26800,24400,26750,1384477
20170811,25300,25750,24050,24950,2019038
20170810,28100,28450,26500,26500,1105526
20170809,26850,29600,25500,28200,3964347
20170808,30900,30900,26350,27650,3437793
20170807,32000,35000,31000,31000,1054140
20170804,29850,31950,28000,31000,1156550
20170803,27500,33300,27500,32000,1657395
20170802,25900,26800,25150,26800,855357
20170801,24050,26450,24050,25050,894004
20170731,21100,27000,21100,24550,1605660
20170728,19700,21800,19000,21450,3578814
20170727,19150,22000,18550,20000,6636327
20170726,15350,18850,14850,18850,5925161
20170725,14150,14550,13800,14500,293273
20170724,14150,14300,13750,14000,200153
20170721,13600,14100,13500,14000,247799
20170720,13400,13700,13150,13600,136267
20170719,13050,13400,12900,13400,137537
20170718,13000,13100,12800,13000,121317
20170717,12150,13000,12100,13000,226599
20170714,12450,12450,12150,12200,57603
20170713,12150,12550,12150,12350,66797
20170712,12400,12600,12200,12300,66931
20170711,12350,12500,12250,12350,64128
20170710,12400,12450,12150,12200,81223
20170707,12250,12500,12100,12300,66542
20170706,11800,12750,11800,12350,311524
20170705,11750,11850,11700,11800,68661
20170704,11800,11950,11700,11750,85939
20170703,11900,12050,11750,11800,115253
20170630,11750,12150,11650,12100,146226
20170629,12450,12550,11700,11850,517028
20170628,13100,13100,12250,12550,349941
20170627,13100,13250,12950,13100,80790
20170626,13200,13350,13050,13050,90397
20170623,13150,13350,13100,13200,59990
20170622,13300,13700,13000,13150,153929
20170621,13200,13450,13150,13300,85035
20170620,13500,13500,12950,13150,238210
20170619,13500,13600,13450,13550,82839
20170616,13750,13800,13500,13500,140728
20170615,14050,14050,13650,13800,100984
20170614,13850,14100,13750,14000,102168
20170613,14100,14100,13750,13850,136161
20170612,14350,14450,14000,14050,130235
20170609,14450,14550,14300,14500,83038
20170608,14550,14550,14350,14500,81767
20170607,14450,14550,14250,14500,88980
20170605,14100,14450,14050,14450,147775
20170602,14200,14250,14000,14050,63830
20170601,14250,14450,14000,14200,100330
20170531,14100,14600,14100,14250,201570
20170530,13900,14150,13700,14100,116736
20170529,14100,14350,13850,13900,161825
20170526,13950,14050,13750,14050,118939
20170525,13800,14150,13750,13900,154782
20170524,13600,14100,13600,14000,203669
20170523,13600,13700,13450,13550,77928
20170522,13750,13800,13500,13500,80747
20170519,13450,13800,13350,13750,110595
20170518,13300,13550,13300,13450,88365
20170517,13500,13700,13400,13500,74482
20170516,13900,13950,13450,13500,209598
20170515,13800,13950,13700,13900,118192
20170512,13750,13900,13700,13800,108554
20170511,13800,13950,13750,13850,73957
20170510,14100,14150,13750,13900,121814
20170508,13950,14300,13750,14150,143347
20170504,13500,13800,13500,13700,61186
20170502,13600,13800,13450,13500,96545
20170428,14050,14050,13600,13650,131436
20170427,14000,14150,13900,13900,66919
20170426,14000,14250,13750,14000,116824
20170425,13900,14150,13850,13900,98692
20170424,14250,14300,13850,13900,119022
20170421,14350,14500,14000,14250,136625
20170420,14650,14850,14150,14250,252868
